name,address,latitude,longitude,google_maps_link,waze_link,operating_hours,google_geocoded_latitude,google_geocoded_longitude
Subway Menara UOA Bangsar,"Jalan Bangsar Utama 1, Unit 1-2-G, Menara UOA Bangsar, Kuala Lumpur, 59000",3.128099,101.678678,https://goo.gl/maps/8n6W5Syy3vUAGeQV8,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-menara-uoa-bangsar?place=ChIJPWFRH5RJzDERvHvlO1uTQpY,"Monday - Sunday, 8:00 AM - 8:00 PM",3.127005,101.6768552
Subway Jln Pinang,"G9, Wisma UOA II, 19, Jalan Pinang, Kuala Lumpur, 50450",3.152705,101.712034,https://goo.gl/maps/iLgjQHPoB2Sm9Mcg8,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-jalan-pinang-kl?place=ChIJIzvym9Q3zDER9MZj809Opn0,"Monday - Saturday, 8:00 AM – 9:00PM | Sunday, 11:30 AM – 6:30PM",3.1523198,101.7122418
Subway UOA Damansara,"Unit 50-G-5, Ground Floor, Wisma UOA Damansara, No. 50, Jalan Dungun, Kuala Lumpur, 50490",3.151729,101.666006,https://goo.gl/maps/gC9G9RL9KSoBtPVP9,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-wisma-uoa-damansara?place=ChIJa5Vpq1RIzDER8-Wwe3eFNUI,"Monday - Saturday, 8:00 AM – 8:30PM | Sunday, Closed",3.1517288,101.6660061
Subway Mont Kiara,"E-01-16 ,Block E, Plaza Mont Kiara, 2 Jalan Kiara, Mont Kiara, Kuala Lumpur, 50480",3.165686,101.651956,https://goo.gl/maps/tGLv7WnCUS1ZXV6i9,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-plaza-montkiara?place=ChIJ62Fw6vFIzDEReI7qDH2RtxQ,"Monday - Sunday, 10:00 AM - 10:00 PM",3.1656857,101.6519562
Subway Avenue K,"Lot UC-8 & 9, Upper Concourse Level, Avenue K, No. 156, Jalan Ampang, Kuala Lumpur, 50450",3.159477,101.713515,https://goo.gl/maps/7btXNukrfAr3rKie6,"https://www.waze.com/en/live-map/directions/subway-avenue-k-lot-uc-8-and-9,-upper-concourse-level,-avenue-k-kuala-lumpur?place=w.66650144.666566972.27413004","Monday - Sunday, 8:00 AM - 10:00 PM",3.158154,101.7120899
Subway Berjaya Times Square,"LG-08A, Berjaya Times Square, No. 1, Jalan Imbi, Kuala Lumpur, 55100",3.142198,101.710551,https://goo.gl/maps/DqrssLpMUcFQbMmT6,"https://www.waze.com/en/live-map/directions/subway-berjaya-times-square-lot-03-103,-3rd-floor,-berjaya-times-square-kuala-lumpur?place=w.66650143.666566970.27413449","Monday - Sunday, 10:00 AM - 10:00 PM",3.1425177,101.7103847
Subway Capsquare,"Ground Floor, Unit 01-02, Cap Square Tower, 10 Jalan Munshi Abdullah, Kuala Lumpur, 50100",3.154416,101.698823,https://goo.gl/maps/UAMitMeYmLT22NzY7,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-capsquare?place=ChIJy-MVCLdJzDER31pWsrn_WZE,"Monday - Saturday, 8:00 AM – 9:00PM | Sunday, Closed",3.1542071,101.6987835
Subway Aeon AU2,"Aeon AU2 Shopping Center, 6, Jln 37/36 Taman Setiawangsa, Lot G49, Taman Keramat, Kuala Lumpur, 54200",3.177185,101.750558,https://goo.gl/maps/V6bVi1nvjHD8yz8w9,https://www.waze.com/en/live-map/directions/subway-aeon-au2-aeon-au2-shopping-center-kuala-lumpur?place=w.66715680.666829118.27413005,"Monday - Sunday, 10:00 AM - 10:00 PM",3.1774938,101.7399136
Subway University Malaya,"Faculty of Dentistry, Level 1, Block B, University of Malaya, Kuala Lumpur, 50603",3.121723,101.653684,https://goo.gl/maps/gSAoGE2W5mQVaK5m9,https://www.waze.com/en/live-map/directions/subway-university-of-malaya-university-of-malaya-faculty-of-dentistry-petaling-jaya?place=w.66650143.666173751.27402188,"Monday - Friday, 6:30 AM – 10:00PM | Saturday & Sunday, 8:00 AM – 3:00PM",3.1219268,101.6569942
Subway Wangsa Walk,"Wangsa Ave, Bandar Wangsa Maju, #9 Jalan Perdana 1, G-52, Wangsa Walk Mall, Kuala Lumpur, 53300",3.198582,101.742206,https://goo.gl/maps/YExRKp69pyMbvRRK7,"https://www.waze.com/en/live-map/directions/subway-wangsa-walk-mall-g-52,-wangsa-walk-mall-kuala-lumpur?place=w.66650144.666763584.27401138","Monday - Sunday, 9:30 AM - 9:30 PM",3.1405862,101.6890991
